idtaxon;idnombre;ScientificName;idnombre sinónimo;Sinónimo;Tipo sinonimia;taxonConceptID;ScientificNameID;nameAccordingto;namePublishedIn;namePublishedInYear;kingdom;phylum;class;order;family;genus;subgenus;specificepithet;infraspecificepithet;taxonRank;WithoutAutorship;ScientificNameAuthorship;taxonRemarks;Vernacular Name;Origen;Environment;Grupo taxonómico
10468;10468;Myiopsitta monachus (Boddaert, 1783);;;;;urn:lsid:recibio.net:name:7010a8a4-4b87-4c31-bb6c-cf921ef280ee;;;;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Myiopsitta;;monachus;;Species;Myiopsitta monachus;(Boddaert, 1783);;Cotorra argentina;Especie no nativa;Terrestre (incl. fluvial);Aves
10471;10471;Xenopus laevis (Daudin, 1802);;;;;;;;;Animalia;Chordata;Amphibia;Anura;Pipidae;Xenopus;;laevis;;Species;Xenopus laevis;(Daudin, 1802);;Rana de uñas africana;Especie no nativa;Terrestre (incl. fluvial);Anfibios
10479;10479;Amandava amandava (Linnaeus, 1758);;;;;urn:lsid:recibio.net:name:1c4a063e-1243-432b-acd1-40a8465d4243;;;;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Amandava;;amandava;;Species;Amandava amandava;(Linnaeus, 1758);;Bengalí rojo;Especie no nativa;Terrestre (incl. fluvial);Aves
10481;10481;Ammotragus lervia (Pallas, 1777);;;;;urn:lsid:recibio.net:name:054b0554-3f1d-440b-afc7-e737ebef9ece;;;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ammotragus;;lervia;;Species;Ammotragus lervia;(Pallas, 1777);;Arrui;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10485;10485;Atelerix albiventris (Wagner, 1841);;;;;;;;;Animalia;Chordata;Mammalia;Erinaceomorpha;Erinaceidae;Atelerix;;albiventris;;Species;Atelerix albiventris;(Wagner, 1841);;Erizo africano de vientre blanco;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10489;10489;Branta canadensis (Linnaeus, 1758);;;;;urn:lsid:recibio.net:name:4729e048-24ab-4a9a-b236-1163d3886344;;;;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;;canadensis;;Species;Branta canadensis;(Linnaeus, 1758);;Barnacla canadiense grande;Especie no nativa;Terrestre (incl. fluvial);Aves
10502;10502;Chrysemys picta (Schneider, 1783);;;;;;;;;Animalia;Chordata;Reptilia;Testudines;Emydidae;Chrysemys;;picta;;Species;Chrysemys picta;(Schneider, 1783);;Tortuga pintada;Especie no nativa;Terrestre (incl. fluvial);Reptiles
10510;10510;Threskiornis aethiopicus (Latham, 1790);;;;;;;;;Animalia;Chordata;Aves;Pelecaniformes;Threskiornithidae;Threskiornis;;aethiopicus;;Species;Threskiornis aethiopicus;(Latham, 1790);;Ibis sagrado;Especie no nativa;Terrestre (incl. fluvial);Aves
10515;10515;Duttaphrynus melanostictus (Schneider, 1799);;;;;;;;;Animalia;Chordata;Amphibia;Anura;Bufonidae;Duttaphrynus;;melanostictus;;Species;Duttaphrynus melanostictus;(Schneider, 1799);;;Especie no nativa;Terrestre (incl. fluvial);Anfibios
10536;10536;Hemiechinus auritus (Gmelin, 1770);;;;;;;;;Animalia;Chordata;Mammalia;Erinaceomorpha;Erinaceidae;Hemiechinus;;auritus;;Species;Hemiechinus auritus;(Gmelin, 1770);;Erizo de orejas largas dorado;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10538;10538;Herpestes javanicus (É. Geoffroy Saint-Hilaire, 1818);;;;;;;;;Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;;javanicus;;Species;Herpestes javanicus;(É. Geoffroy Saint-Hilaire, 1818);;Mangosta pequeña asiática;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10543;10543;Leiothrix lutea (Scopoli, 1786);;;;;urn:lsid:recibio.net:name:308b2790-0759-4204-9a6e-061df16ce919;;;;Animalia;Chordata;Aves;Passeriformes;Leiothrichidae;Leiothrix;;lutea;;Species;Leiothrix lutea;(Scopoli, 1786);;Leiotrix piquirrojo;Especie no nativa;Terrestre (incl. fluvial);Aves
10548;10548;Lithobates catesbeianus (Shaw, 1802);10991;Rana catesbeiana Shaw, 1802;Sinónimo;;;;;;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates;;catesbeianus;;Species;Lithobates catesbeianus;(Shaw, 1802);;;Especie no nativa;Terrestre (incl. fluvial);Anfibios
10548;10548;Lithobates catesbeianus (Shaw, 1802);;;;;;;;;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates;;catesbeianus;;Species;Lithobates catesbeianus;(Shaw, 1802);;;Especie no nativa;Terrestre (incl. fluvial);Anfibios
10559;10559;Myocastor coypus (Molina, 1782);;;;;urn:lsid:recibio.net:name:e5914401-2157-48a5-bc56-feb7e5bdda83;;;;Animalia;Chordata;Mammalia;Rodentia;Myocastoridae;Myocastor;;coypus;;Species;Myocastor coypus;(Molina, 1782);;Coipú;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10564;10564;Nyctereutes procyonoides (Gray, 1834);;;;;;;;;Animalia;Chordata;Mammalia;Carnivora;Canidae;Nyctereutes;;procyonoides;;Species;Nyctereutes procyonoides;(Gray, 1834);;Perro mapache;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10566;10566;Ondatra zibethicus (Linnaeus, 1766);;;;;urn:lsid:recibio.net:name:109540d8-ba0e-4c09-8b16-3f429f675651;;;;Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Ondatra;;zibethicus;;Species;Ondatra zibethicus;(Linnaeus, 1766);;Rata almizclera;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10572;10572;Oxyura jamaicensis (Gmelin, JF, 1789);;;;;urn:lsid:recibio.net:name:b65e846f-6f72-4a5f-8a7d-634cbc2c9ad1;;;;Animalia;Chordata;Aves;Anseriformes;Anatidae;Oxyura;;jamaicensis;;Species;Oxyura jamaicensis;(Gmelin, JF, 1789);;Malvasía canela;Especie no nativa;Terrestre (incl. fluvial);Aves
10586;10586;Procyon lotor Linnaeus, 1758;;;;;urn:lsid:recibio.net:name:ce28bdc8-b5f5-46d1-921b-6b1ab489bf0e;;;;Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Procyon;;lotor;;Species;Procyon lotor;Linnaeus, 1758;;Mapache;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10588;10588;Psittacula krameri (Scopoli, 1769);;;;;urn:lsid:recibio.net:name:655b0cd2-be74-404b-b584-9acf3ab02524;;;;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Psittacula;;krameri;;Species;Psittacula krameri;(Scopoli, 1769);;Cotorra de Kramer;Especie no nativa;Terrestre (incl. fluvial);Aves
10590;10590;Pycnonotus cafer (Linnaeus, 1766);;;;;;;;;Animalia;Chordata;Aves;Passeriformes;Pycnonotidae;Pycnonotus;;cafer;;Species;Pycnonotus cafer;(Linnaeus, 1766);;Bulbul cafre;Especie no nativa;Terrestre (incl. fluvial);Aves
10591;10591;Pycnonotus jocosus (Linnaeus, 1758);;;;;;;;;Animalia;Chordata;Aves;Passeriformes;Pycnonotidae;Pycnonotus;;jocosus;;Species;Pycnonotus jocosus;(Linnaeus, 1758);;Bulbul orfeo;Especie no nativa;Terrestre (incl. fluvial);Aves
10593;10593;Rattus norvegicus (Berkenhout, 1769);;;;;urn:lsid:recibio.net:name:f53868f8-7404-47be-958a-f97d32a167bc;;;;Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;;norvegicus;;Species;Rattus norvegicus;(Berkenhout, 1769);;Rata parda;Indeterminado;Terrestre (incl. fluvial);Mamíferos
10594;10594;Rattus rattus (Linnaeus, 1758);;;;;urn:lsid:recibio.net:name:45218e8c-17d1-46a8-8e42-300fd56c3a26;;;;Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;;rattus;;Species;Rattus rattus;(Linnaeus, 1758);;Rata negra;Especie nativa;Terrestre (incl. fluvial);Mamíferos
10598;10598;Rousettus aegyptiacus (E. Geoffroy, 1810);;;;;urn:lsid:recibio.net:name:722ee558-159e-4c4a-8df8-cc112f9fbbe3;;;;Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Rousettus;;aegyptiacus;;Species;Rousettus aegyptiacus;(E. Geoffroy, 1810);;Murciélago egipcio;Especie no nativa;Terrestre (incl. fluvial);Mamíferos
10644;10644;Microtus agrestis (Linnaeus, 1761);;;;;urn:lsid:recibio.net:name:e8f25b2f-70cd-4656-8a6e-689af64f0988;;;;Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;;agrestis;;Species;Microtus agrestis;(Linnaeus, 1761);;Topillo agreste;Especie nativa;Terrestre (incl. fluvial);Mamíferos
10648;10648;Motacilla alba Linnaeus, 1758;;;;;urn:lsid:recibio.net:name:09ccc41d-527b-4ca6-afbc-c2e46b49855d;;;;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;;alba;;Species;Motacilla alba;Linnaeus, 1758;;Aguzanieves;Especie nativa;Terrestre (incl. fluvial);Aves
10649;10649;Calidris alba (Pallas, 1764);;;;;urn:lsid:recibio.net:name:ec72f508-de9a-44be-8718-1e8d94c4d7d3;;;;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Calidris;;alba;;Species;Calidris alba;(Pallas, 1764);;Correlimos tridáctilo;Especie nativa;Terrestre (incl. fluvial);Aves
10650;10650;Tyto alba (Scopoli, 1769);;;;;urn:lsid:recibio.net:name:d0121c1d-af1a-4919-b6b5-5b4022623021;;;;Animalia;Chordata;Aves;Strigiformes;Tytonidae;Tyto;;alba;;Species;Tyto alba;(Scopoli, 1769);;Lechuza común;Especie nativa;Terrestre (incl. fluvial);Aves
