sourceTaxonId;sourceTaxonName;sourceLifestageName;interactionTypeName;targetGenericItemName;localityName;reference1Id;reference2Id;reference3Id;reference4Id
A1;Alytes cisternasii;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A1;Alytes cisternasii;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A1;Alytes cisternasii;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A1;Alytes cisternasii;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A2;Alytes dickhilleni;all;eats;algae;EUROPE;HERPref4;;;
A2;Alytes dickhilleni;all;eats;detritus;EUROPE;HERPref4;;;
A2;Alytes dickhilleni;all;eats;other plant parts;EUROPE;HERPref4;;;
A2;Alytes dickhilleni;all;eats;invertebrates;EUROPE;HERPref4;;;
A3;Alytes muletensis;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A3;Alytes muletensis;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A3;Alytes muletensis;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A3;Alytes muletensis;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A4;Alytes obstetricans;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref6;
A4;Alytes obstetricans;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref6;
A4;Alytes obstetricans;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref6;
A4;Alytes obstetricans;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref6;
A5;Bombina bombina;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A5;Bombina bombina;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A5;Bombina bombina;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A5;Bombina bombina;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A6;Bombina pachypus;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A6;Bombina pachypus;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A6;Bombina pachypus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A6;Bombina pachypus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A7;Bombina variegata;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A7;Bombina variegata;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A7;Bombina variegata;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A7;Bombina variegata;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A8;Bufo bufo;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A8;Bufo bufo;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A8;Bufo bufo;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A8;Bufo bufo;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A9;Epidalea calamita;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref6;
A9;Epidalea calamita;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref6;
A9;Epidalea calamita;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref6;
A9;Epidalea calamita;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref6;
A10;Bufo verrucosissimus;all;eats;algae;EUROPE;HERPref3;;;
A10;Bufo verrucosissimus;all;eats;detritus;EUROPE;HERPref3;;;
A10;Bufo verrucosissimus;all;eats;other plant parts;EUROPE;HERPref3;;;
A10;Bufo verrucosissimus;all;eats;invertebrates;EUROPE;HERPref3;;;
A11;Bufotes viridis;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A11;Bufotes viridis;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A11;Bufotes viridis;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A11;Bufotes viridis;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A12;Chioglossa lusitanica;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref6;
A13;Discoglossus galganoi;all;eats;algae;EUROPE;HERPref4;;;
A13;Discoglossus galganoi;all;eats;detritus;EUROPE;HERPref4;;;
A13;Discoglossus galganoi;all;eats;other plant parts;EUROPE;HERPref4;;;
A13;Discoglossus galganoi;all;eats;invertebrates;EUROPE;HERPref4;;;
A14;Discoglossus jeanneae;all;eats;algae;EUROPE;HERPref4;HERPref6;;
A14;Discoglossus jeanneae;all;eats;detritus;EUROPE;HERPref4;HERPref6;;
A14;Discoglossus jeanneae;all;eats;other plant parts;EUROPE;HERPref4;HERPref6;;
A14;Discoglossus jeanneae;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A15;Discoglossus montalentii;all;eats;algae;EUROPE;HERPref7;HERPref6;;
A15;Discoglossus montalentii;all;eats;detritus;EUROPE;HERPref7;HERPref6;;
A15;Discoglossus montalentii;all;eats;other plant parts;EUROPE;HERPref7;HERPref6;;
A15;Discoglossus montalentii;all;eats;invertebrates;EUROPE;HERPref7;HERPref6;;
A16;Discoglossus pictus;all;eats;algae;EUROPE;HERPref7;HERPref6;;
A16;Discoglossus pictus;all;eats;detritus;EUROPE;HERPref7;HERPref6;;
A16;Discoglossus pictus;all;eats;other plant parts;EUROPE;HERPref7;HERPref6;;
A16;Discoglossus pictus;all;eats;invertebrates;EUROPE;HERPref7;HERPref6;;
A17;Discoglossus sardus;all;eats;algae;EUROPE;HERPref7;;;
A17;Discoglossus sardus;all;eats;detritus;EUROPE;HERPref7;;;
A17;Discoglossus sardus;all;eats;other plant parts;EUROPE;HERPref7;;;
A17;Discoglossus sardus;all;eats;invertebrates;EUROPE;HERPref7;;;
A18;Calotriton asper;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A19;Euproctus montanus;all;eats;invertebrates;EUROPE;HERPref7;;;
A20;Euproctus platycephalus;all;eats;invertebrates;EUROPE;HERPref7;;;
A21;Hyla arborea;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A21;Hyla arborea;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A21;Hyla arborea;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A21;Hyla arborea;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A22;Hyla intermedia;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A22;Hyla intermedia;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A22;Hyla intermedia;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A22;Hyla intermedia;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A24;Hyla sarda;all;eats;algae;EUROPE;HERPref7;;;
A24;Hyla sarda;all;eats;detritus;EUROPE;HERPref7;;;
A24;Hyla sarda;all;eats;invertebrates;EUROPE;HERPref7;;;
A25;Hyla savignyi;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A25;Hyla savignyi;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A25;Hyla savignyi;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A25;Hyla savignyi;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A26;Lyciasalamandra antalyana;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A27;Lyciasalamandra atifi;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A28;Lyciasalamandra billae;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A29;Lyciasalamandra fazilae;all;eats;invertebrates;EUROPE;HERPref8;;;
A30;Lyciasalamandra flavimembris;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A31;Lyciasalamandra helverseni;all;eats;invertebrates;EUROPE;HERPref9;HERPref5;;
A32;Lyciasalamandra luschani;all;eats;invertebrates;EUROPE;HERPref9;HERPref5;;
A33;Mertensiella caucasica;all;eats;invertebrates;EUROPE;HERPref10;;;
A34;Neurergus crocatus;all;eats;invertebrates;EUROPE;HERPref11;;;
A35;Neurergus strauchii;all;eats;invertebrates;EUROPE;HERPref11;;;
A36;Pelobates cultripes;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref6;
A36;Pelobates cultripes;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref6;
A36;Pelobates cultripes;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref6;
A36;Pelobates cultripes;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref6;
A37;Pelobates fuscus;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A37;Pelobates fuscus;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A37;Pelobates fuscus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A37;Pelobates fuscus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A39;Pelodytes caucasicus;all;eats;algae;EUROPE;HERPref12;;;
A39;Pelodytes caucasicus;all;eats;detritus;EUROPE;HERPref12;;;
A39;Pelodytes caucasicus;all;eats;other plant parts;EUROPE;HERPref12;;;
A39;Pelodytes caucasicus;all;eats;invertebrates;EUROPE;HERPref12;;;
A40;Pelodytes ibericus;all;eats;algae;EUROPE;HERPref6;;;
A40;Pelodytes ibericus;all;eats;detritus;EUROPE;HERPref6;;;
A40;Pelodytes ibericus;all;eats;other plant parts;EUROPE;HERPref6;;;
A40;Pelodytes ibericus;all;eats;invertebrates;EUROPE;HERPref6;;;
A41;Pelodytes punctatus;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A41;Pelodytes punctatus;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A41;Pelodytes punctatus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A41;Pelodytes punctatus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A42;Pleurodeles waltl;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A43;Proteus anguinus;all;eats;detritus;EUROPE;HERPref7;;;
