"","species","genus","family","bodyMass","sigma"
"3","Acanthodactylus erythrurus","Acanthodactylus","Lacertidae",0.038,0.0266
"5","Accipiter gentilis","Accipiter","Accipitridae",0.405125,0.2835875
"6","Accipiter nisus","Accipiter","Accipitridae",0.405125,0.2835875
"16","Aegithalos caudatus","Aegithalos","Aegithalidae",0.0055,0.00385
"17","Aegolius funereus","Aegolius","Strigidae",0.686066666666667,0.480246666666667
"18","Aegypius monachus","Aegypius","Accipitridae",1.44725,1.013075
"19","Alauda arvensis","Alauda","Alaudidae",0.036,0.0252
"21","Alcedo atthis","Alcedo","Alcedinidae",0.102722222222222,0.0719055555555556
"25","Alectoris rufa","Alectoris","Phasianidae",0.475,0.3325
"26","Algyroides marchi","Algyroides","Lacertidae",0.038,0.0266
"28","Alytes cisternasii","Alytes","Alytidae",0.05,0.035
"29","Alytes dickhilleni","Alytes","Alytidae",0.05,0.035
"31","Alytes obstetricans","Alytes","Alytidae",0.05,0.035
"39","Anguis fragilis","Anguis","Anguidae",0.03217,0.022519
"47","Anthus campestris","Anthus","Motacillidae",0.0264,0.01848
"52","Anthus spinoletta","Anthus","Motacillidae",0.0264,0.01848
"53","Anthus trivialis","Anthus","Motacillidae",0.0264,0.01848
"54","Apodemus flavicollis","Apodemus","Muridae",0.169275882352941,0.118493117647059
"55","Apodemus sylvaticus","Apodemus","Muridae",0.169275882352941,0.118493117647059
"57","Apus apus","Apus","Apodidae",0.065,0.0455
"60","Apus pallidus","Apus","Apodidae",0.065,0.0455
"62","Aquila adalberti","Aquila","Accipitridae",2.63675,1.845725
"63","Aquila chrysaetos","Aquila","Accipitridae",2.63675,1.845725
"75","Arvicola sapidus","Arvicola","Cricetidae",0.08,0.056
"77","Asio flammeus","Asio","Strigidae",0.686066666666667,0.480246666666667
"78","Asio otus","Asio","Strigidae",0.686066666666667,0.480246666666667
"79","Atelerix algirus","Atelerix","Erinaceidae",0.28,0.196
"80","Athene noctua","Athene","Strigidae",0.686066666666667,0.480246666666667
"88","Blanus cinereus","Blanus","Blanidae",0.0057,0.00399
"95","Bubo bubo","Bubo","Strigidae",1.177,0.8239
"97","Bubulcus ibis","Bubulcus","Ardeidae",0.729884615384615,0.510919230769231
"98","Bucanetes githagineus","Bucanetes","Fringillidae",0.01568125,0.010976875
"102","Bufo bufo","Bufo","Bufonidae",0.11,0.077
"105","Burhinus oedicnemus","Burhinus","Burhinidae",0.695,0.4865
"106","Buteo buteo","Buteo","Accipitridae",1.012,0.7084
"109","Calandrella brachydactyla","Calandrella",NA,0.0225,0.01575
"110","Calandrella rufescens","Calandrella",NA,0.0225,0.01575
"122","Canis lupus","Canis",NA,22.68,15.876
"125","Capra pyrenaica","Capra","Bovidae",202.821428571429,141.975
"126","Capreolus capreolus","Capreolus","Cervidae",115.5775,80.90425
"127","Caprimulgus europaeus","Caprimulgus","Caprimulgidae",0.0675,0.04725
"128","Caprimulgus ruficollis","Caprimulgus","Caprimulgidae",0.0675,0.04725
"129","Carduelis carduelis","Carduelis","Fringillidae",0.01568125,0.010976875
"136","Certhia brachydactyla","Certhia","Certhiidae",0.00747,0.005229
"137","Certhia familiaris","Certhia","Certhiidae",0.00747,0.005229
"138","Cervus elaphus","Cervus","Cervidae",200,140
"139","Cettia cetti","Cettia","Cettiidae",0.008765,0.0061355
"140","Chalcides bedriagai","Chalcides","Scincidae",0.548,0.3836
"143","Chalcides striatus","Chalcides","Scincidae",0.548,0.3836
"144","Chamaeleo chamaeleon","Chamaeleo","Chamaeleonidae",0.017,0.0119
"151","Chersophilus duponti","Chersophilus","Alaudidae",0.036,0.0252
"152","Chioglossa lusitanica","Chioglossa","Salamandridae",0.022,0.0154
"153","Chionomys nivalis","Chionomys","Cricetidae",0.0882016393442623,0.0617411475409836
"158","Ciconia ciconia","Ciconia","Ciconiidae",3.35,2.345
"159","Ciconia nigra","Ciconia","Ciconiidae",2.54466666666667,1.78126666666667
"161","Circaetus gallicus","Circaetus","Accipitridae",1.44725,1.013075
"163","Circus cyaneus","Circus","Accipitridae",0.74,0.518
"165","Circus pygargus","Circus","Accipitridae",0.74,0.518
"166","Cisticola juncidis","Cisticola","Cisticolidae",0.008825,0.0061775
"167","Clamator glandarius","Clamator","Cuculidae",0.146206666666667,0.102344666666667
"169","Coccothraustes coccothraustes","Coccothraustes","Fringillidae",0.01568125,0.010976875
"174","Columba oenas","Columba","Columbidae",0.316333333333333,0.221433333333333
"175","Columba palumbus","Columba","Columbidae",0.316333333333333,0.221433333333333
"177","Coracias garrulus","Coracias","Coraciidae",0.1875,0.13125
"178","Coronella girondica","Coronella","Colubridae",0.168503636363636,0.117952545454545
"179","Corvus corax","Corvus","Corvidae",0.866,0.6062
"180","Corvus corone","Corvus","Corvidae",0.469715,0.3288005
"181","Corvus frugilegus","Corvus","Corvidae",0.469715,0.3288005
"182","Coturnix coturnix","Coturnix","Phasianidae",0.08194,0.057358
"184","Crocidura russula","Crocidura","Soricidae",0.011,0.0077
"185","Crocidura suaveolens","Crocidura","Soricidae",0.0304571428571429,0.02132
"186","Cuculus canorus","Cuculus","Cuculidae",0.128,0.0896
